,tweet,time,id,likes,location
6520,"#HouseOfTheDragon 

Me removing the iron spikes early to save Helaena: https://t.co/rDFCIMjJdN",2022-09-26 16:39:21+00:00,33525337,4,
6521,"“Do keep trying Ser Laenor, sooner or later you might get one that looks like you” WHAT Alicent is so savage!!! #HouseOfTheDragon https://t.co/ST62CnBfKS",2022-09-26 16:39:17+00:00,137076203,2,
6522,"The one thing I cannot stand is seeing everyone blame my girl Rhaenyra for having kids with Harwin Strong when Leanor was the one who couldn’t and wouldn’t give heirs to her 

(I love Leanor but c’mon it takes two) 

#HouseOfTheDragon",2022-09-26 16:39:17+00:00,3420675765,2,
6523,🫡 Mans like Aegon! MASTER OF THE GAME! 😂 #HouseOfTheDragon https://t.co/yss3AVW8M6,2022-09-26 16:39:09+00:00,249556815,0,
6524,Rhaenyra Targaryen and Leana Velaryon: #HouseOfTheDragon https://t.co/kKCMihG5Wk,2022-09-26 16:39:07+00:00,583171363,4,
6525,"So let me get this straight, Queen Elizabeth is dead but King Viserys is somehow STILL ALIVE???
#HouseOfTheDragon",2022-09-26 16:39:03+00:00,783061566010761217,2,
6526,"Daemon or John snow
#GameOfThrones 
#HouseOfTheDragon",2022-09-26 16:39:02+00:00,1519811482137116674,0,
6527,Why tf did Criston Cole not age a day #HouseOfTheDragon,2022-09-26 16:39:00+00:00,528844700,0,
6528,"&amp; honestly f*** Laenor. He didn’t hold up his end of the bargain by any means. He didn’t father ANY of those children. Just been eating, living, &amp; fucking like royalty in Rhaenyra’s house. I’m glad she made him stay!  #HouseOfTheDragon https://t.co/ID8GMIhbPx",2022-09-26 16:39:00+00:00,42889386,1,
6529,"@TheCousinSal Best name for unwatchable game when put on NFL Red Zone 'Red Wedding Zone'
#nfl #redzone @ChicagoBears @HoustonTexans #redwedding #GameOfThrones #HouseOfTheDragon 
@ringernfl 
@nflnetwork",2022-09-26 16:38:57+00:00,1186111310511120386,0,
6530,"#HouseOfTheDragonHBO 
#HouseOfTheDragon 
Alicent just… https://t.co/mABGd15SAX",2022-09-26 16:38:55+00:00,804650473106132992,0,
6531,Ain’t gone cap ion like how they skipping hella years shit low key confusing #HouseOfTheDragon,2022-09-26 16:38:49+00:00,55115687,0,
6532,@SenBillNelson @NASA 14x improved conversion rates will give your company an unfair advantage. You will receive a $500 free credit and a 7-day free trial when you subscribe. Visit Ad Creative at  https://t.co/DK93NPbkwS #HouseOfTheDragon #mondaythoughts #MondayMotivaton #HurricaneFiona $BTC https://t.co/4gMAxTWF6H,2022-09-26 16:38:43+00:00,1569328598703656960,0,
6533,"Littlefinger + Varys = Larys

#HouseOfTheDragon",2022-09-26 16:38:37+00:00,783193616,0,
6534,Gonna need #HouseOfTheDragon to end with the resurrection of Daenerys Targaryen. 🥲,2022-09-26 16:38:35+00:00,1542599121592209408,0,
6535,Aegon was trying to skeet on the whole city … I’m still on that 🫠#HouseOfTheDragon,2022-09-26 16:38:35+00:00,297868335,2,
6536,"Tensions rise and loyalties are tested in a new episode of #HouseOfTheDragon streaming now 🔥

Shop all #HouseOfTheDragonHBO - https://t.co/QUdm6YAgYZ https://t.co/Ui7tpiyLbL",2022-09-26 16:38:30+00:00,491322998,0,
6537,@TansuYegen 14x improved conversion rates will give your company an unfair advantage. You will receive a $500 free credit and a 7-day free trial when you subscribe. Visit Ad Creative at  https://t.co/DK93NPsnyS #HouseOfTheDragon #mondaythoughts #MondayMotivaton #HurricaneFiona $BTC https://t.co/wTHOs0ZvbE,2022-09-26 16:38:30+00:00,1569328598703656960,0,
6538,Of course you need to re-cast if you’re going from a four-year-old to a 20 year old but you can certainly get from 15 to 30 without uprooting the actors that the audience has bonded with. #HouseOfTheDragon,2022-09-26 16:38:27+00:00,2227280989,3,
6539,Rhaenyra is like if D***erys was sane... Love that for her! #HouseOfTheDragon,2022-09-26 16:38:27+00:00,1158985239819169792,1,
6540,"Lol all them boys look like they daddy. 

#HouseOfTheDragon #demdragons",2022-09-26 16:38:22+00:00,27521265,4,
6541,@IAmSteveHarvey 14x improved conversion rates will give your company an unfair advantage. You will receive a $500 free credit and a 7-day free trial when you subscribe. Visit Ad Creative at  https://t.co/DK93NPbkwS #HouseOfTheDragon #mondaythoughts #MondayMotivaton #HurricaneFiona $BTC https://t.co/eD6VmkJBnK,2022-09-26 16:38:19+00:00,1569328598703656960,0,
6542,"Mark my words Alicent will be way more bitchy than Cersei. 

#HouseOfTheDragon",2022-09-26 16:38:18+00:00,1279349585689755648,0,
6543,"@theatomchode @jwegs78 @davechensky 6/ Have her be more preoccupied with helping Rhaenyra than Viserys, to the point she is failing at whatever mission Otto put her on. Maybe she helps reconcile Viserys  &amp; Rhaenyra for not grieving together Aemma's death. #HouseOfTheDragon #HotD",2022-09-26 16:38:17+00:00,96100973,0,
6544,"When in doubt, go home. #HouseOfTheDragon https://t.co/1X0zyc2UOL",2022-09-26 16:38:14+00:00,826948339124011009,2,
